,Overall Rank ,City,Total Score ,Emotional & Physical Well-Being ,Income & Employment ,Community & Environment ,CSA Code_x,index,CBSA,Metropolitan Division Code,CSA Code_y,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
0,1,"Fremont, CA",76.1,1,34,1,none,1547.0,41860.0,36084.0,488.0,Metropolitan Statistical Area,"Oakland-Fremont-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6.0,1.0,Central
1,2,"San Jose, CA",70.35,2,3,64,488,1552.0,41940.0,,488.0,Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",San Benito County,California,6.0,69.0,Outlying
2,3,"Madison, WI",69.72,5,41,8,357,1035.0,31540.0,,357.0,Metropolitan Statistical Area,,"Madison-Janesville-Beloit, WI",Columbia County,Wisconsin,55.0,21.0,Outlying
3,4,"Overland Park, KS",68.93,6,87,6,312,85.0,11860.0,,312.0,Micropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Atchison County,Kansas,20.0,5.0,Central
4,5,"San Francisco, CA",68.73,4,8,69,488,1547.0,41860.0,36084.0,488.0,Metropolitan Statistical Area,"Oakland-Fremont-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6.0,1.0,Central
5,6,"Irvine, CA",67.83,8,40,18,none,,,,,,,,,,,,
6,7,"Columbia, MD",67.71,3,176,28,548,146.0,12580.0,,548.0,Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Anne Arundel County,Maryland,24.0,3.0,Central
7,8,"Sioux Falls, SD",67.02,10,72,21,none,,,,,,,,,,,,
8,9,"South Burlington, VT",66.51,11,25,47,none,272.0,15540.0,,162.0,Metropolitan Statistical Area,,"Burlington-South Burlington-Barre, VT",Chittenden County,Vermont,50.0,7.0,Central
9,10,"Burlington, VT",65.83,28,1,11,none,272.0,15540.0,,162.0,Metropolitan Statistical Area,,"Burlington-South Burlington-Barre, VT",Chittenden County,Vermont,50.0,7.0,Central
10,11,"Seattle, WA",65.59,7,4,119,500,1612.0,42660.0,21794.0,500.0,Metropolitan Statistical Area,"Everett, WA","Seattle-Tacoma, WA",Snohomish County,Washington,53.0,61.0,Central
11,12,"Bismarck, ND",64.12,24,44,23,none,204.0,13900.0,,,Metropolitan Statistical Area,,,Burleigh County,North Dakota,38.0,15.0,Central
12,13,"Oakland, CA",64.08,9,50,99,488,1547.0,41860.0,36084.0,488.0,Metropolitan Statistical Area,"Oakland-Fremont-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6.0,1.0,Central
13,14,"Huntington Beach, CA",64.04,14,52,53,none,,,,,,,,,,,,
14,15,"San Diego, CA",63.98,21,28,27,none,1542.0,41740.0,,,Metropolitan Statistical Area,,,San Diego County,California,6.0,73.0,Central
15,16,"Scottsdale, AZ",63.48,45,66,2,none,,,,,,,,,,,,
16,17,"Minneapolis, MN",62.63,12,15,113,378,,,,,,,,,,,,
17,18,"Yonkers, NY",62.5,17,118,44,none,,,,,,,,,,,,
18,19,"Aurora, IL",62.49,16,154,15,216,,,,,,,,,,,,
19,20,"Fargo, ND",62.42,23,47,67,244,,,,,,,,,,,,
20,21,"Portland, ME",62.38,22,7,123,438,1382.0,38860.0,,438.0,Metropolitan Statistical Area,,"Portland-Lewiston-South Portland, ME",Cumberland County,Maine,23.0,5.0,Central
