,countyname,state,ssacounty,fipscounty,cbsa,City,ssast,fipst
0,AUTAUGA,AL,01000,01001,33860,"Montgomery, AL",01,01
1,BALDWIN,AL,01010,01003,19300,"Daphne-Fairhope-Foley, AL",01,01
2,BARBOUR,AL,01020,01005,,,01,01
3,BIBB,AL,01030,01007,13820,"Birmingham-Hoover, AL",01,01
4,BLOUNT,AL,01040,01009,13820,"Birmingham-Hoover, AL",01,01
5,BULLOCK,AL,01050,01011,,,01,01
6,BUTLER,AL,01060,01013,,,01,01
7,CALHOUN,AL,01070,01015,11500,"Anniston-Oxford-Jacksonville, AL",01,01
8,CHAMBERS,AL,01080,01017,,,01,01
9,CHEROKEE,AL,01090,01019,,,01,01
10,CHILTON,AL,01100,01021,13820,"Birmingham-Hoover, AL",01,01
11,CHOCTAW,AL,01110,01023,,,01,01
12,CLARKE,AL,01120,01025,,,01,01
13,CLAY,AL,01130,01027,,,01,01
14,CLEBURNE,AL,01140,01029,,,01,01
15,COFFEE,AL,01150,01031,,,01,01
16,COLBERT,AL,01160,01033,22520,"Florence-Muscle Shoals, AL",01,01
17,CONECUH,AL,01170,01035,,,01,01
18,COOSA,AL,01180,01037,,,01,01
19,COVINGTON,AL,01190,01039,,,01,01
20,CRENSHAW,AL,01200,01041,,,01,01
21,CULLMAN,AL,01210,01043,,,01,01
22,DALE,AL,01220,01045,,,01,01
23,DALLAS,AL,01230,01047,,,01,01
24,DE KALB,AL,01240,01049,,,01,01
25,ELMORE,AL,01250,01051,33860,"Montgomery, AL",01,01
26,ESCAMBIA,AL,01260,01053,,,01,01
27,ETOWAH,AL,01270,01055,23460,"Gadsden, AL",01,01
28,FAYETTE,AL,01280,01057,,,01,01
29,FRANKLIN,AL,01290,01059,,,01,01
30,GENEVA,AL,01300,01061,20020,"Dothan, AL",01,01
31,GREENE,AL,01310,01063,,,01,01
32,HALE,AL,01320,01065,46220,"Tuscaloosa, AL",01,01
33,HENRY,AL,01330,01067,20020,"Dothan, AL",01,01
34,HOUSTON,AL,01340,01069,20020,"Dothan, AL",01,01
35,JACKSON,AL,01350,01071,,,01,01
36,JEFFERSON,AL,01360,01073,13820,"Birmingham-Hoover, AL",01,01
37,LAMAR,AL,01370,01075,,,01,01
38,LAUDERDALE,AL,01380,01077,22520,"Florence-Muscle Shoals, AL",01,01
39,LAWRENCE,AL,01390,01079,19460,"Decatur, AL",01,01
40,LEE,AL,01400,01081,12220,"Auburn-Opelika, AL",01,01
41,LIMESTONE,AL,01410,01083,26620,"Huntsville, AL",01,01
42,LOWNDES,AL,01420,01085,33860,"Montgomery, AL",01,01
43,MACON,AL,01430,01087,,,01,01
44,MADISON,AL,01440,01089,26620,"Huntsville, AL",01,01
45,MARENGO,AL,01450,01091,,,01,01
46,MARION,AL,01460,01093,,,01,01
47,MARSHALL,AL,01470,01095,,,01,01
48,MOBILE,AL,01480,01097,33660,"Mobile, AL",01,01
49,MONROE,AL,01490,01099,,,01,01
50,MONTGOMERY,AL,01500,01101,33860,"Montgomery, AL",01,01
51,MORGAN,AL,01510,01103,19460,"Decatur, AL",01,01
52,PERRY,AL,01520,01105,,,01,01
53,PICKENS,AL,01530,01107,46220,"Tuscaloosa, AL",01,01
54,PIKE,AL,01540,01109,,,01,01
55,RANDOLPH,AL,01550,01111,,,01,01
56,RUSSELL,AL,01560,01113,17980,"Columbus, GA-AL",01,01
57,ST. CLAIR,AL,01570,01115,13820,"Birmingham-Hoover, AL",01,01
58,SHELBY,AL,01580,01117,13820,"Birmingham-Hoover, AL",01,01
59,SUMTER,AL,01590,01119,,,01,01
60,TALLADEGA,AL,01600,01121,,,01,01
61,TALLAPOOSA,AL,01610,01123,,,01,01
62,TUSCALOOSA,AL,01620,01125,46220,"Tuscaloosa, AL",01,01
63,WALKER,AL,01630,01127,13820,"Birmingham-Hoover, AL",01,01
64,WASHINGTON,AL,01640,01129,,,01,01
65,WILCOX,AL,01650,01131,,,01,01
66,WINSTON,AL,01660,01133,,,01,01
67,STATEWIDE,AL,01999,01990,,,01,01
68,ALEUTIANS EAST,AK,02013,02013,,,02,02
69,ALEUTIANS WEST,AK,02016,02016,,,02,02
70,ANCHORAGE,AK,02020,02020,11260,"Anchorage, AK",02,02
71,BETHEL,AK,02050,02050,,,02,02
72,BRISTOL BAY BOROUGH,AK,02060,02060,,,02,02
73,DENALI,AK,02068,02068,,,02,02
74,DILLINGHAM,AK,02070,02070,,,02,02
75,FAIRBANKS NORTH STAR,AK,02090,02090,21820,"Fairbanks, AK",02,02
76,HAINES,AK,02100,02100,,,02,02
77,HOONAH-ANGOON CENSUS AREA,AK,02105,02105,,,02,02
78,JUNEAU,AK,02110,02110,,,02,02
79,KENAI PENINSULA,AK,02122,02122,,,02,02
80,KETCHIKAN GATEWAY,AK,02130,02130,,,02,02
81,KODIAK ISLAND BOROUGH,AK,02150,02150,,,02,02
82,LAKE AND PENINSULA,AK,02164,02164,,,02,02
83,MATANUSKA-SUSITNA,AK,02170,02170,11260,"Anchorage, AK",02,02
84,NOME,AK,02180,02180,,,02,02
85,NORTH SLOPE BOROUH,AK,02185,02185,,,02,02
86,NORTHWEST ARTIC BOROUGH,AK,02188,02188,,,02,02
87,PETERSBURG CENSUS AREA,AK,02195,02195,,,02,02
88,PR.OF WALES-HYDER CNS AREA,AK,02198,02198,,,02,02
89,SITKA BOROUGH,AK,02220,02220,,,02,02
90,SKAGWAY-YAKUTAT,AK,02230,02230,,,02,02
91,SOUTHEAST FAIRBANKS,AK,02240,02240,,,02,02
92,VALDEZ-CORDOVA,AK,02261,02261,,,02,02
93,WADE HAMPTON,AK,02270,02270,,,02,02
94,WRANGELL CITY AND BOROUGH,AK,02275,02275,,,02,02
95,YAKUTAT BOROUGH,AK,02282,02282,,,02,02
96,YUKON-KOYUKUK,AK,02290,02290,,,02,02
97,STATEWIDE,AK,02999,02990,,,02,02
98,APACHE,AZ,03000,04001,,,03,04
99,COCHISE,AZ,03010,04003,43420,"Sierra Vista-Douglas, AZ",03,04
100,COCONINO,AZ,03020,04005,22380,"Flagstaff, AZ",03,04
101,GILA,AZ,03030,04007,,,03,04
102,GRAHAM,AZ,03040,04009,,,03,04
103,GREENLEE,AZ,03050,04011,,,03,04
104,LAPAZ,AZ,03055,04012,,,03,04
