,index,CBSA,Metropolitan Division Code,CSA Code,City,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
0,0,10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,13,Central
2,2,10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,27,Central
3,3,10180,,101.0,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Callahan County,Texas,48,59,Outlying
6,6,10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,Central
7,7,10300,,220.0,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,91,Central
8,8,10380,,364.0,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Aguada Municipio,Puerto Rico,72,3,Central
15,15,10420,,184.0,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,Central
17,17,10460,,,"Alamogordo, NM",Micropolitan Statistical Area,,,Otero County,New Mexico,35,35,Central
18,18,10480,,,"Alamosa, CO",Micropolitan Statistical Area,,,Alamosa County,Colorado,8,3,Central
21,21,10500,,,"Albany, GA",Metropolitan Statistical Area,,,Dougherty County,Georgia,13,95,Central
25,25,10540,,440.0,"Albany, OR",Metropolitan Statistical Area,,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,43,Central
26,26,10580,,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Albany County,New York,36,1,Central
31,31,10620,,172.0,"Albemarle, NC",Micropolitan Statistical Area,,"Charlotte-Concord, NC-SC",Stanly County,North Carolina,37,167,Central
32,32,10660,,,"Albert Lea, MN",Micropolitan Statistical Area,,,Freeborn County,Minnesota,27,47,Central
33,33,10700,,290.0,"Albertville, AL",Micropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL-TN",Marshall County,Alabama,1,95,Central
34,34,10740,,105.0,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Los Alamos, NM",Bernalillo County,New Mexico,35,1,Central
38,38,10760,,194.0,"Alexander City, AL",Micropolitan Statistical Area,,"Columbus-Auburn-Opelika, GA-AL",Tallapoosa County,Alabama,1,123,Central
39,39,10780,,,"Alexandria, LA",Metropolitan Statistical Area,,,Grant Parish,Louisiana,22,43,Outlying
41,41,10820,,,"Alexandria, MN",Micropolitan Statistical Area,,,Douglas County,Minnesota,27,41,Central
42,42,10860,,204.0,"Alice, TX",Micropolitan Statistical Area,,"Corpus Christi-Kingsville-Alice, TX",Brooks County,Texas,48,47,Outlying
44,44,10900,,106.0,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",Warren County,New Jersey,34,41,Central
